Nombre	Longitud	Latitud	param_ew	param_ns	param_up	wrms_ew	wrms_ns	wrms_up
BN17	-71.2000	-30.6000	10.4250	20.3221	-0.5861	3.4323	2.1209	5.0793
BTO1	-71.4900	-30.2600	-2.8369	15.5262	1.2424	3.9030	1.8080	4.1677
CMBA	-71.0000	-31.1900	12.3800	20.1825	-1.6746	3.5081	1.8691	4.6236
CNBA	-71.4600	-31.4000	19.3835	22.8942	-0.9438	1.6531	2.0006	5.0571
LVI1	-71.5100	-31.9100	14.0141	17.7186	-2.3827	2.0225	2.0759	5.6258
PEDR	-70.6900	-30.8400	7.0733	19.5538	0.5456	3.1705	1.9523	6.5562
PFRJ	-71.6400	-30.6800	18.8358	14.7360	-6.8492	3.4260	3.0763	6.1666
SLMC	-70.9600	-31.7800	5.9647	18.6571	-2.6787	1.6088	1.8075	4.3262
ZAPA	-71.4700	-32.5500	21.9234	19.0451	-0.0156	2.9410	3.0176	12.6363
