-36.65	-9.75	-4.876	12.539	1.8801	1.7186
-35.78	-9.55	-4.8119	12.8996	1.6277	1.5273
-43.55	-13.26	-3.1721	13.3809	1.7839	2.3919
-44.99	-12.15	-4.6584	12.2171	2.6405	2.5486
-39.17	-14.8	-4.4081	13.5256	1.9844	2.278
-41.86	-11.31	-4.904	13.1229	1.5137	2.1623
-40.29	-12.52	-4.8153	12.7148	1.5683	1.4885
-39.74	-17.55	-3.1236	13.8132	3.858	2.1037
-40.8	-14.89	-5.2901	13.552	1.6586	1.7727
-47.88	-15.95	-4.2038	13.2853	1.5688	1.7005
-38.43	-3.88	-4.583	8.9063	1.6012	2.0386
-38.43	-3.88	-5.1899	11.6319	1.4524	1.4938
-38.47	-3.71	-3.9872	9.8296	4.6352	2.6227
-40.34	-3.68	-5.2291	13.1259	1.4888	1.5541
-39.42	-7.24	-4.0399	12.1722	3.1471	2.7275
-49.26	-16.66	-3.4375	13.6228	1.5363	1.7228
-51.73	-17.88	-2.9467	14.5618	2.1661	2.2538
-49.14	-14.51	-3.4306	12.8683	1.5069	1.5911
-41.96	-18.86	-4.3596	12.7346	2.6174	2.0995
-47.5	-5.49	-3.5636	14.0752	1.762	1.7611
-43.77	-15.36	-4.5817	12.6602	1.3894	1.4008
-43.96	-19.87	-4.5383	13.2165	2.0041	1.9427
-47.87	-15.76	-3.9589	12.3866	2.0611	2.2164
-47.49	-5.53	-4.191	12.862	2.4411	2.3017
-39.17	-14.8	-5.1118	12.841	3.4543	2.366
-35.21	-5.84	-4.6727	12.4817	2.3308	2.0896
-40.54	-9.36	-4.9764	13.0025	2.2587	2.0794
-54.73	-2.43	-4.3848	15.0537	1.989	2.1571
-49.12	-5.36	-7.3129	11.7453	2.542	1.9229
-44.82	-4.24	-2.8538	12.4011	1.6573	1.6233
-46.04	-7.53	-4.4588	13.4829	1.8751	1.8167
-43.92	-19.94	-1.3754	12.4292	2.8165	2.2401
-43.86	-16.72	-4.0219	13.3929	1.7345	1.966
-47.52	-18.72	-3.8451	12.8957	1.5155	1.6776
-46.13	-19.21	-3.6301	13.5235	1.4795	1.4585
-48.26	-18.92	-3.5694	13.1933	1.7486	2.1225
-52.27	-13.56	1.4025	16.7763	3.3772	2.7826
-52.31	-15.88	-2.7646	11.788	2.2322	3.3601
-54.15	-17.22	-2.6174	12.995	1.5203	1.6393
-54.28	-15.55	-3.061	12.9713	1.5696	1.6219
-52.35	-14.7	-3.5361	13.2294	1.4579	1.6173
-50.66	-11.62	-4.7166	13.3679	1.4875	1.523
-35.21	-5.84	-5.3924	12.8724	1.5939	1.5026
-52.21	-3.21	-2.7443	10.945	1.8517	2.2509
-52.18	-3.2	-5.0026	13.0084	1.6698	1.6043
-54.73	-2.43	-4.1499	12.0046	1.6645	1.8741
-35.91	-7.21	-5.3524	12.5756	1.6779	1.5764
-34.87	-7.14	-5.0921	16.2292	1.6803	2.4927
-37.63	-7.76	-5.3461	13.1896	1.6774	1.5931
-40.51	-9.38	-5.5823	13.1561	1.4898	1.6605
-45.17	-10.43	-4.9889	13.016	1.6047	1.6483
-43.04	-6.79	-2.4278	13.3358	3.8369	1.9358
-42.7	-9.03	-6.0924	14.1429	1.7126	1.7424
-42.79	-5.1	-4.1633	13.4362	1.7535	1.6731
-34.95	-8.05	-3.6064	10.2213	1.7258	1.725
-37.33	-5.2	-3.9789	11.9924	2.857	2.9191
-35.21	-5.84	-5.0351	12.5101	1.5863	1.4972
-38.21	-6.13	-2.4766	13.7453	2.2406	1.637
-44.21	-2.59	-6.8407	11.6585	7.7077	3.2854
-38.43	-12.94	-4.4566	14.1772	1.6329	1.667
-37.1	-10.93	-4.8616	12.598	1.6075	1.5677
-38.52	-12.97	-5.0314	12.5881	1.705	1.6185
-49.05	-11.75	-3.0416	12.8146	1.6973	1.9915
-48.33	-10.17	-5.0139	12.2798	1.9426	1.6576
-48.32	-18.89	-3.6291	13.2655	3.5848	2.252
